nam,cod_depto,anio,pob,var,muj,vivpart,vivtotal,sup,ind_masc,dens_pob,TMI,TGF,TBN,TBM,TCV,Mat1ria,Pred_LR,MAPE_LR,MSE_LR,RMSE_LR,PredRegTree,MAPE_RT,MSE_RT,RMSE_RT,Pred_RF,MSE_RF,RMSE_RF,MAPE_RF,Pred_LGB,MSE_LGB,RMSE_LGB,MAPE_LGB
San Miguel,6760,2022,326215.0,157244.0,168569.0,107723.0,50.0,100.72,93.3,3238.83,7.9,1.89,9.7,8.8,0.899,1767473.0,306995,5.89,369000000.0,19219.7,276190,15.3,2502500625,50025.0,,,,,,,,
San Miguel,6760,2010,276190.0,134584.0,141606.0,82892.0,57.0,100.72,95.0,2742.16,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
San Miguel,6760,2001,253086.0,123400.0,129686.0,71300.0,84.0,100.72,95.2,2512.77,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
San Miguel,6760,1991,,,,,,100.72,,,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Tigre,6805,2022,447785.0,215056.0,228822.0,152750.0,54.0,525.28,94.0,852.47,7.9,1.89,9.7,8.8,0.899,1767473.0,476591,6.43,830000000.0,28806.7,301223,32.7,21480419844,146562.0,327135.0,14556306676.230404,120649.52000000002,26.944,311842.0,18480499249.0,135943.0,30.358989247071698
Tigre,6805,2010,376381.0,184774.0,191607.0,118428.0,54.0,525.28,96.4,716.53,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Tigre,6805,2001,301223.0,148057.0,153166.0,87709.0,42.0,525.28,96.7,573.45,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Tigre,6805,1991,257922.0,127987.0,129935.0,,,525.28,98.5,491.02,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Tres de Febrero,6840,2022,366377.0,173299.0,191265.0,149029.0,67.0,55.29,90.6,6626.46,7.9,1.89,9.7,8.8,0.899,1767473.0,344876,5.87,462000000.0,21500.7,336467,8.200000000000001,894608100,29910.0,341817.0,603176899.3155987,24559.65999999997,6.703,341971.0,595636565.4444454,24405.666666666686,6.661353378259739
Tres de Febrero,6840,2010,340071.0,161806.0,178265.0,119920.0,88.0,55.29,90.8,6150.68,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
Tres de Febrero,6840,2001,336467.0,159781.0,176686.0,115040.0,92.0,55.29,90.4,6085.49,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Tres de Febrero,6840,1991,349376.0,167417.0,181959.0,,,55.29,92.0,6318.97,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Vicente López,6861,2001,274082.0,127238.0,146844.0,108947.0,91.0,41.93,86.6,6536.66,15.0,2.3,16.9,8.2,8.7,1658221.0,0,,,,0,0.0,0,0.0,,,,,,,,
Vicente López,6861,2022,283510.0,131723.0,149903.0,126139.0,88.0,41.93,87.9,6761.51,7.9,1.89,9.7,8.8,0.899,1767473.0,263204,7.16,412000000.0,20306.0,269420,5.0,198528100,14090.0,277881.0,31690144.360000264,5629.400000000023,1.986,277669.0,34117281.0,5841.0,2.060244788543614
Vicente López,6861,1991,289505.0,135426.0,154079.0,,,41.93,87.9,6904.48,24.2,2.6,18.4,7.9,10.5,1752994.0,0,,,,0,0.0,0,0.0,,,,,,,,
Vicente López,6861,2010,269420.0,125792.0,143628.0,114747.0,72.0,41.93,87.6,6425.47,12.0,2.5,18.9,8.4,10.5,1667278.0,0,,,,0,0.0,0,0.0,,,,,,,,
